fips,name,rural_raw_value,cropland_share_of_land,gcd_funding,pgma,moratorium,dist_km,land_score,permissive_score,infra_score,siting_risk,is_lit,is_peer
48271,Kinney,1,0.0109389544343718,0,0,0,184.412692022699,0.994530522782814,1,0.158163349847318,0.660942973556581,FALSE,FALSE
48273,Kleberg,0.1963595361,0.104583762315964,0,0,0,238.261253118335,0.186091526574022,1,0.0923091018093053,0.233663464799342,FALSE,FALSE
48275,Knox,1,0.321586695159624,0,0,0,47.32344418455,0.839206652420188,1,0.622984000536989,0.781038654452181,FALSE,FALSE
48277,Lamar,0.4750838524,0.331738755914481,0,0,0,106.971848880061,0.396281989324883,1,0.343105091750587,0.443704558763579,FALSE,FALSE
48279,Lamb,0.5687236489,0.6355088045696,0,0,0,48.4117718689586,0.38800920577855,1,0.616240654599957,0.555278013574611,FALSE,FALSE
48281,Lampasas,0.6613492394,0.0898911558466538,0,0,0,74.6971684688825,0.631624515626014,1,0.473799195757698,0.615313856858715,FALSE,FALSE
48283,La Salle,1,0.0120694837293939,0,0,0,134.856039518554,0.993965258135303,1,0.259613732934971,0.70362332814395,FALSE,FALSE
48285,Lavaca,0.8238678271,0.152640804789648,0,0,0,87.4560987202648,0.760989903015579,1,0.417045067617131,0.655191472334102,FALSE,FALSE
48287,Lee,1,0.11761483694544,0,0,0,40.3329477387191,0.94119258152728,1,0.66809194186969,0.850523934884815,FALSE,FALSE
48289,Leon,1,0.0873212748602114,0,0,0,47.4138644029758,0.956339362569894,1,0.62242095163633,0.838667319027168,FALSE,FALSE
48291,Liberty,0.7737045445,0.0894184173290327,0,0,0,64.7440794097911,0.739112826575265,1,0.523383510431889,0.689413019849798,FALSE,FALSE
48293,Limestone,0.699223336,0.101855944721427,0,0,0,44.498025244788,0.663613309270226,1,0.64083693086806,0.701850151293849,FALSE,FALSE
48295,Lipscomb,1,0.188620224566911,0,0,0,194.216025087638,0.905689887716544,1,0.143393848263385,0.610798810861742,FALSE,FALSE
48297,Live Oak,1,0.0658336290354101,0,0,0,127.66173478881,0.967083185482295,1,0.27897939640788,0.698543249463886,FALSE,FALSE
48299,Llano,0.502141882,0.0409165740720553,0,0,0,95.3908449548863,0.491868919245233,1,0.38523241575485,0.508766385122129,FALSE,FALSE
